title,authors,journal,doi,all_authors
Hydrothermal mobilization and molecular transformations of dissolved organic matter from deep subsurface sediments,"Melina Knoke, Thorsten Dittmar, Jana Günther, ... , Michael Seidel (n=6)",Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2025.06.005,Melina Knoke; Thorsten Dittmar; Jana Günther; Philipp Böning; Andreas Teske; Michael Seidel
Contrasting photochemical behaviors between biogenic-sourced and combustion-sourced dissolved organic nitrogen,"Zhiyuan Zhang, Xiurui Cui, Chenhui Wei, ... , Dongqiang Zhu (n=6)",Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2025.10.036,Zhiyuan Zhang; Xiurui Cui; Chenhui Wei; Shuning Zang; Shu Tao; Dongqiang Zhu
Transportation and transformation of dissolved organic matter from overlying to bottom waters of cold seeps in the South China Sea: insights at the molecular level,"Shi Tang, Zhenwei Yan, Yuanbi Yi, ... , Penghui Li (n=7)",Global and Planetary Change,https://doi.org/10.1016/j.gloplacha.2025.104920,Shi Tang; Zhenwei Yan; Yuanbi Yi; Yuan Shen; Wei Xie; Ding He; Penghui Li
Long‐Term and Seasonal Drivers of Organic Matter in the Clearwater Tapajós River and Implications for the Amazon River Basin,"Martin R. Kurek, Rafael Corrêa Muniz, José Mauro Sousa de Moura, ... , Robert G. M. Spencer (n=7)",Global Biogeochemical Cycles,https://doi.org/10.1029/2025gb008545,Martin R. Kurek; Rafael Corrêa Muniz; José Mauro Sousa de Moura; Bernhard Peucker‐Ehrenbrink; R. M. Holmes; Amy M. McKenna; Robert G. M. Spencer
"Molecular Composition of Stream Dissolved Organic Matter in Cool-Temperate Forest Headwaters with Landslides, Northern Japan","Jun’ichiro Ide, Kenta Hara, Yohei Arata, ... , Takashi Gomi (n=7)",Hydrology,https://doi.org/10.3390/hydrology12030063,Jun’ichiro Ide; Kenta Hara; Yohei Arata; Izuki Endo; Mizue Ohashi; Hiroshi Nishimura; Takashi Gomi
Molecular-level study of the effect of nitrogen addition levels on soil dissolved organic matter composition in a desert steppe of northwest China,"Yan Wang, Bin Xue, Longwei Fu, ... , Georges Martial Ndzana (n=11)",International Journal of Biological Macromolecules,https://doi.org/10.1016/j.ijbiomac.2025.147494,Yan Wang; Bin Xue; Longwei Fu; Lingtong Du; Kun Ma; Ruili Gao; Kaiyang Qiu; Guohui Wang; Xiang Zheng; Xuying Hai; Georges Martial Ndzana
Molecular Humification Mechanisms of Dissolved Organic Matter during Maize Straw Composting Enhanced by Humus Soil Biomaterial: Paired-Molecule Mass Difference Reactomics Analysis Based on FT-ICR MS,"Zheng-Liang Du, Qing‐Long Fu, Jiayu Liu, Xiaoli Chai, Boran Wu",Journal of Agricultural and Food Chemistry,https://doi.org/10.1021/acs.jafc.5c05559,Zheng-Liang Du; Qing‐Long Fu; Jiayu Liu; Xiaoli Chai; Boran Wu
"Changes in dissolved organic matter chemistry of plateau lakes along gradients of human activity intensity in Yunnan Province, China","Lei Xu, Wenjun Zhong, Zetian Liu, ... , Aiwen Zhong (n=9)",Journal of Environmental Management,https://doi.org/10.1016/j.jenvman.2025.127513,Lei Xu; Wenjun Zhong; Zetian Liu; Qian Hu; Xin Xiong; Jianlin Tang; Tao Chen; Wei Liao; Aiwen Zhong
Revealing the effects and mechanisms of lake autochthonous dissolved organic matter on phosphorus sequestration by lanthanum-modified clay at the molecular level,"Tianlun Han, Yan Wang, Min-Hui Cai, ... , Ming Kong (n=6)",Journal of Environmental Management,https://doi.org/10.1016/j.jenvman.2025.125959,Tianlun Han; Yan Wang; Min-Hui Cai; Hongbin Yin; Huacheng Xu; Ming Kong
Machine learning uncovers tidal DOM transformations and keystone molecules via FT-ICR MS and reactomics for estuarine nutrient cycling,"Guosheng Zhao, Longfei Wang, Yi Li, ... , Li Lin (n=6)",Journal of Environmental Sciences,https://doi.org/10.1016/j.jes.2025.12.043,Guosheng Zhao; Longfei Wang; Yi Li; Jiaying Chen; Lihua Niu; Li Lin
Biochar-enhanced iron cycling in Fenton systems for the degradation and transformation of dissolved organic matter in hydrothermal liquid,"Hao Yu, Zhiwei Li, Jingxin Huang, Ruixia Han, Yin Wang",Journal of Environmental Sciences,https://doi.org/10.1016/j.jes.2025.12.076,Hao Yu; Zhiwei Li; Jingxin Huang; Ruixia Han; Yin Wang
Novel Insights Into the Molecular Characteristics of Dissolved Organophosphorus in Biomass Burning Smoke: Implication on the Environmental Stability and Cycling of Atmospheric Organophosphorus,"Weifeng Chen, Huiying Zhang, Shiming Xu, ... , Hui Jia (n=7)",Journal of Geophysical Research Atmospheres,https://doi.org/10.1029/2025jd043374,Weifeng Chen; Huiying Zhang; Shiming Xu; Zhigeng Wang; Qin Dai; Lingling Lv; Hui Jia
Signatures of Arctic Change: Molecular‐Level Composition and Bioavailability of Shifting Dissolved Organic Matter Sources,"Alexis Slentz, Amy M. McKenna, Anne M. Kellerman, ... , Robert G. M. Spencer (n=12)",Journal of Geophysical Research Biogeosciences,https://doi.org/10.1029/2025jg008899,Alexis Slentz; Amy M. McKenna; Anne M. Kellerman; Amy D. Holt; A. J. Burns; Max Miller; Sasha Wagner; Maria Tzortziou; Hugh G. Smith; Antonio Mannino; Jeffrey P. Chanton; Robert G. M. Spencer
Deciphering Microbially Driven Labile and Refractory Molecular Candidates in Dissolved Organic Matter,"Qi Chen, Jiaxin Chen, Ruanhong Cai, ... , Qiang Zheng (n=8)",Journal of Geophysical Research Biogeosciences,https://doi.org/10.1029/2024jg008484,Qi Chen; Jiaxin Chen; Ruanhong Cai; Chen He; Quan Shi; Chuanlun Zhang; Nianzhi Jiao; Qiang Zheng
Linking Microbial Communities and Molecular Transformations of Dissolved Organic Matter to the Fate of Nitrogen in Karst Aquifers,"Ruixuan Gai, Jing Bao, Wei Xiu, ... , Qiang Zhang (n=6)",Journal of Geophysical Research Biogeosciences,https://doi.org/10.1029/2025jg008961,Ruixuan Gai; Jing Bao; Wei Xiu; Fang Guo; Qiang Li; Qiang Zhang
Seasonality of Surface Dissolved Organic Matter Composition in the Northern Part of a Large Marginal Sea in an Extremely Dry Year,"Fu‐Tao Fang, ⎜Zhuoyi Zhu, Yuanbi Yi, Ding He",Journal of Geophysical Research Oceans,https://doi.org/10.1029/2024jc022019,Fu‐Tao Fang; ⎜Zhuoyi Zhu; Yuanbi Yi; Ding He
Significant role of sludge-derived organic matter in enhancing Cr (III) immobilization by jarosite: Insights from molecular selective adsorption and co-precipitation,"Jun Gao, Yunhui Zhang, Shijie Yuan, ... , Zuxin Xu (n=6)",Journal of Hazardous Materials,https://doi.org/10.1016/j.jhazmat.2025.137743,Jun Gao; Yunhui Zhang; Shijie Yuan; Lei Li; Bin Dong; Zuxin Xu
