year,title,authors_short,all_authors,journal,doi,subdisciplines,n_subdisciplines
2022,Independent response of soil DOM to MAT and MAP: Evidence from a large-scale survey of moss crusts in mainland China,"Siwan Liu, Linhua Fan, Chao Chang et al. (n=10)",Siwan Liu; Linhua Fan; Chao Chang; Zhengkui Ge; Ning Ma; Wenbin Chen; Fang Yang; Baozhu Pan; Ming Li; Li Gao,Ecological Indicators,https://doi.org/10.1016/j.ecolind.2022.109240,atmosphere_aerosol; biogeochem_carbon; microbial_coupling; soil_terrestrial,4
2022,Different dissolved organic matter composition between central and southern glaciers on the Tibetan Plateau,"Bixi Guo, Yongqin Liu, Keshao Liu et al. (n=7)",Bixi Guo; Yongqin Liu; Keshao Liu; Quan Shi; Chen He; Ruanhong Cai; Nianzhi Jiao,Ecological Indicators,https://doi.org/10.1016/j.ecolind.2022.108888,biogeochem_carbon; cryosphere; estuary_coastal; freshwater_river; marine; microbial_coupling; soil_terrestrial,7
2022,Maltene and Asphaltene Contributions to the Formation of Water-Soluble Emerging Contaminants from Photooxidation of Paving Materials,"Taylor J. Glattke, Martha L. Chacón‐Patiño, Alan G. Marshall et al. (n=4)",Taylor J. Glattke; Martha L. Chacón‐Patiño; Alan G. Marshall; Ryan P. Rodgers,Energy & Fuels,https://doi.org/10.1021/acs.energyfuels.2c02936,biogeochem_carbon; freshwater_lake; methods_instrumentation; petroleum_fossil,4
2022,"Molecular characterization by ultrahigh resolution mass spectrometry of dissolved black carbon-like molecules in summer along the Pearl River Estuary, China","Xiaocong Wang, Chen He, Quan Shi et al. (n=4)",Xiaocong Wang; Chen He; Quan Shi; Guixue Song,Environmental Advances,https://doi.org/10.1016/j.envadv.2022.100297,atmosphere_aerosol; biochar_black_carbon; biogeochem_carbon; estuary_coastal; freshwater_river; marine; methods_instrumentation,7
2022,Responses of dissolved organic matter (DOM) characteristics in eutrophic lake to water diversion from external watershed,"Jia He, Yan Yang, Xue Wu et al. (n=11)",Jia He; Yan Yang; Xue Wu; Guoqiang Zhi; Ying Zhang; Xiaoneng Sun; Lixin Jiao; Weiming Deng; Hongbin Zhou; Zhi Shao; Qifeng Zhu,Environmental Pollution,https://doi.org/10.1016/j.envpol.2022.119992,biogeochem_carbon; disturbance_anthropogenic; estuary_coastal; freshwater_lake; marine; soil_terrestrial,6
2022,"Sources, characteristics, and in situ degradation of dissolved organic matters: A case study of a drinking water reservoir located in a cold-temperate forest","Fan Liu, Qingliang Zhao, Jing Ding et al. (n=8)",Fan Liu; Qingliang Zhao; Jing Ding; Lili Li; Kun Wang; Huimin Zhou; Miao Jiang; Jian Wei,Environmental Research,https://doi.org/10.1016/j.envres.2022.114857,atmosphere_aerosol; biogeochem_carbon; disturbance_anthropogenic; estuary_coastal; freshwater_lake; marine; microbial_coupling; soil_terrestrial; wastewater_drinking,9
2022,Coupled Sorption and Oxidation of Soil Dissolved Organic Matter on Manganese Oxides: Nano/Sub-nanoscale Distribution and Molecular Transformation,"Zecong Ding, Yang Ding, Fu Liu et al. (n=7)",Zecong Ding; Yang Ding; Fu Liu; Jianjun Yang; Rong Li; Zhi Dang; Zhenqing Shi,Environmental Science & Technology,https://doi.org/10.1021/acs.est.1c07520,biogeochem_carbon; soil_terrestrial,2
2022,Marine Dissolved Organic Matter Shares Thousands of Molecular Formulae Yet Differs Structurally across Major Water Masses,"Michael Seidel, Sahithya Phani Babu Vemulapalli, Daniel Mathieu et al. (n=4)",Michael Seidel; Sahithya Phani Babu Vemulapalli; Daniel Mathieu; Thorsten Dittmar,Environmental Science & Technology,https://doi.org/10.1021/acs.est.1c04566,biogeochem_carbon; estuary_coastal; marine,3
2022,Using Potential Molecular Transformation To Understand the Molecular Trade-Offs in Soil Dissolved Organic Matter,"Meng Wu, Pengfa Li, Guilong Li et al. (n=8)",Meng Wu; Pengfa Li; Guilong Li; Kai Liu; Guozhen Gao; Shiyu Ma; Cunpu Qiu; Zhongpei Li,Environmental Science & Technology,https://doi.org/10.1021/acs.est.2c01137,biogeochem_carbon; soil_terrestrial,2
2022,Natural Asphalt Seeps Are Potential Sources for Recalcitrant Oceanic Dissolved Organic Sulfur and Dissolved Black Carbon,"Jonas Brünjes, Michael Seidel, Thorsten Dittmar et al. (n=5)",Jonas Brünjes; Michael Seidel; Thorsten Dittmar; Jutta Niggemann; Florence Schubotz,Environmental Science & Technology,https://doi.org/10.1021/acs.est.2c01123,atmosphere_aerosol; biochar_black_carbon; biogeochem_carbon; freshwater_lake; marine; petroleum_fossil,6
